Restaurant Name,,City,Address,Locality,,,,Cuisines,,,Has Table booking,Has Online delivery,,,,Aggregate rating,,Rating text
Amir,,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,,,,Lebanese,,,No,No,,,,4.2,,Very Good
TT Burger,,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana",,,,Burger,,,No,No,,,,4.8,,Excellent
Braseiro da GÌÁvea,,Rio de Janeiro,"PraÌ_a Santos Dumont, 116, GÌÁvea, Rio de Janeiro",GÌÁvea,,,,"Brazilian, Bar Food",,,No,No,,,,4.9,,Excellent
Balada Mix,,Rio de Janeiro,"Rua AnÌ_bal de MendonÌ_a, 37, Ipanema, Rio de Janeiro",Ipanema,,,,"Brazilian, Healthy Food, Juices, Pizza",,,No,No,,,,4.6,,Excellent
Garota de Ipanema,,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,,,,"Brazilian, Bar Food",,,No,No,,,,4.9,,Excellent
ZazÌÁ BistrÌ« Tropical,,Rio de Janeiro,"Rua Joana AngÌ©lica, 40, Ipanema, Rio de Janeiro",Ipanema,,,,Brazilian,,,No,No,,,,4.6,,Excellent
FilÌ© de Ouro,,Rio de Janeiro,"Rua Jardim BotÌ¢nico, 731, Jardim BotÌ¢nico, Lagoa, Rio de Janeiro",Lagoa,,,,Brazilian,,,No,No,,,,4.3,,Very Good
D.O.C Ristorante,,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das AmÌ©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca",,,,Italian,,,No,No,,,,4,,Very Good
Sushi Leblon,,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,,,,Japanese,,,No,No,,,,4.6,,Excellent
Talho Capixaba,,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,,,,"Bakery, Sandwich, Brazilian",,,No,No,,,,4.4,,Very Good
Leme Light,,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,,,,Brazilian,,,No,No,,,,4.2,,Very Good
Shirley,,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,,,,"Brazilian, Seafood",,,No,No,,,,4.2,,Very Good
Quiosque Chopp Brahma,,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,,,,"Bar Food, Brazilian",,,No,No,,,,0,,Not rated
AprazÌ_vel,,Rio de Janeiro,"Rua AprazÌ_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,,,,Brazilian,,,No,No,,,,4.7,,Excellent
Aconchego Carioca,,Rio de Janeiro,"Rua BarÌ£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,,,,"Brazilian, Bar Food",,,No,No,,,,4.6,,Excellent
Garota de Ipanema,,Rio de Janeiro,"Avenida JoÌ£o Alves, 56, Urca, Rio de Janeiro",Urca,,,,"Brazilian, Bar Food",,,No,No,,,,4.3,,Very Good
Cantina Famiglia Mancini,,SÌ£o Paulo,"Rua Avanhandava, 81, Bela Vista, SÌ£o Paulo 10000","Bela Vista, Centro",,,,"Italian, Pizza",,,No,No,,,,4.5,,Excellent
Templo da Carne - Marcos Bassi,,SÌ£o Paulo,"Rua Treze de Maio, 668, Bela Vista, SÌ£o Paulo 01327000","Bela Vista, Centro",,,,"Steak, BBQ",,,No,No,,,,4.4,,Very Good
Gopala Hari,,SÌ£o Paulo,"Rua Antonio Carlos, 429, ConsolaÌ_Ì£o, SÌ£o Paulo",ConsolaÌ_Ì£o,,,,Indian,,,No,No,,,,3.1,,Average
Jiquitaia,,SÌ£o Paulo,"Rua AntÌ«nio Carlos, 268, ConsolaÌ_Ì£o, SÌ£o Paulo",ConsolaÌ_Ì£o,,,,Brazilian,,,No,No,,,,4.1,,Very Good
Skye - Hotel Unique,,SÌ£o Paulo,"Hotel Unique, Avenida Brigadeiro LuÌ_s AntÌ«nio, 4700, Jardim Paulista, SÌ£o Paulo","Hotel Unique, Jardim Paulista",,,,"Beverages, International",,,No,No,,,,4.8,,Excellent
Les 3 Brasseurs,,SÌ£o Paulo,"Rua JesuÌ_no Arruda, 470, Itaim Bibi, SÌ£o Paulo",Itaim Bibi,,,,"French, Brazilian, Beverages",,,No,No,,,,4.6,,Excellent
Red Steak & Burger,,SÌ£o Paulo,"Rua TabapuÌ£, 1417, Itaim Bibi, SÌ£o Paulo",Itaim Bibi,,,,"Brazilian, Grill",,,No,No,,,,3.9,,Good
Cantinho da Gula,,SÌ£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, SÌ£o Paulo, SP",Itaim Bibi,,,,Brazilian,,,No,No,,,,0,,Not rated
Paris 6 Classique,,SÌ£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo",Jardim Paulista,,,,French,,,No,No,,,,3.4,,Average
Kawa Sushi,,SÌ£o Paulo,"Alameda Lorena, 300, Jardim Paulista, SÌ£o Paulo",Jardim Paulista,,,,"Sushi, Japanese",,,No,No,,,,3.5,,Good
A Figueira Rubaiyat,,SÌ£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo 10000",Jardim Paulista,,,,"BBQ, Grill, Brazilian",,,No,No,,,,4.3,,Very Good
Kinoshita,,SÌ£o Paulo,"Rua Jacques FÌ©lix, 405, Vila Nova ConceiÌ_Ì£o, Moema, SÌ£o Paulo",Moema,,,,Sushi,,,No,No,,,,3.9,,Good
Meats,,SÌ£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, SÌ£o Paulo",Pinheiros,,,,"Gourmet Fast Food, Burger",,,No,No,,,,4.3,,Very Good
Paribar,,SÌ£o Paulo,"PraÌ_a Dom JosÌ© Gaspar, 42, RepÌ_blica, SÌ£o Paulo 10000",RepÌ_blica,,,,"Brazilian, Italian",,,No,No,,,,4.3,,Very Good
TerraÌ_o ItÌÁlia,,SÌ£o Paulo,"EdifÌ_cio ItÌÁlia - 41å¡ Andar, Avenida Ipiranga, 344, RepÌ_blica, SÌ£o Paulo",RepÌ_blica,,,,Italian,,,No,No,,,,4.4,,Very Good
Divino FogÌ£o,,SÌ£o Paulo,"Shopping MetrÌ« Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, SÌ£o Paulo","Shopping MetrÌ« Santa Cruz, Vila Mariana",,,,"Brazilian, Mineira",,,No,No,,,,0,,Not rated
Super Grill,,SÌ£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni JÌ_nior, 1089, Santo Amaro, SÌ£o Paulo","Shopping Morumbi, Santo Amaro",,,,Brazilian,,,No,No,,,,0,,Not rated
Esquina MocotÌ_,,SÌ£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, SÌ£o Paulo",Vila Maria,,,,"Brazilian, North Eastern",,,No,No,,,,4.4,,Very Good
Veloso,,SÌ£o Paulo,"Rua ConceiÌ_Ì£o Veloso, 56, Vila Mariana, SÌ£o Paulo",Vila Mariana,,,,"Brazilian, Bar Food, Beverages",,,No,No,,,,4.6,,Excellent
Sainte Marie Gastronomia,,SÌ£o Paulo,"Rua Dom JoÌ£o Batista da Costa, 70, Vila SÌ«nia, SÌ£o Paulo",Vila SÌ«nia,,,,"Lebanese, Arabian",,,No,No,,,,4.1,,Very Good
Austin's BBQ and Oyster Bar,,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,,,,"BBQ, Burger, Seafood",,,No,No,,,,3.3,,Average
BJ's Country Buffet,,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,,,,"American, BBQ",,,No,No,,,,3.3,,Average
Cookie Shoppe,,Albany,"115 N Jackson St, Albany, GA 31701",Albany,,,,,,,No,No,,,,3.4,,Average
El Vaquero Mexican Restaurant,,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,,,,Mexican,,,No,No,,,,3.4,,Average
Elements Coffee Co - Northwest,,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,,,,"Coffee and Tea, Sandwich",,,No,No,,,,3.4,,Average
Pearly's Famous Country Cookng,,Albany,"814 N Slappey Blvd, Albany, GA 31701",Albany,,,,,,,No,No,,,,3.4,,Average
Chick-fil-A,,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,,,,Fast Food,,,No,No,,,,3.5,,Good
Guang Zhou Chinese Restaurant,,Albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,,,,"Asian, Chinese, Vegetarian",,,No,No,,,,3.9,,Good
Harvest Moon,,Albany,"2347 Dawson Road, Albany, GA 31707",Albany,,,,"Pizza, Bar Food, Sandwich",,,No,No,,,,3.7,,Good
Henry Campbell's Steakhouse,,Albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,,,,"Steak, Tapas, Bar Food",,,No,No,,,,3.5,,Good
Hong Kong Cafe,,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,,,,"Chinese, Seafood, Vegetarian",,,No,No,,,,3.6,,Good
House of China Restaurant II,,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,,,,Chinese,,,No,No,,,,3.8,,Good
Jimmie's Hot Dogs,,Albany,"204 S Jackson St, Albany, GA 31701",Albany,,,,,,,No,No,,,,3.9,,Good
Locos Grill & Pub,,Albany,"547 N Westover Blvd, Albany, GA 31707",Albany,,,,"American, Burger, Sandwich",,,No,No,,,,3.5,,Good
Longhorn Steakhouse,,Albany,"2733 Dawson Rd, Albany, GA 31707",Albany,,,,"American, Steak",,,No,No,,,,3.5,,Good
Mikata Japanese Steakhouse,,Albany,"2610 Dawson Rd, Albany, GA 31707",Albany,,,,"Japanese, Steak, Sushi",,,No,No,,,,3.6,,Good
Shogun Japanese Steak House,,Albany,"629 N Westover Blvd, Albany, GA 31707",Albany,,,,"Japanese, Steak, Sushi",,,No,No,,,,3.5,,Good
The Catch Seafood Room & Oyster Bar,,Albany,"2332 Whispering Pines Road, Albany, GA 31707",Albany,,,,"Seafood, Tapas, Bar Food",,,No,No,,,,3.8,,Good
Villa Gargano,,Albany,"1604 N Slappey Blvd, Albany, GA 31701",Albany,,,,"Italian, Pizza",,,No,No,,,,3.7,,Good
3 Squares Diner,,Albany,"202 W Franklin St, Sylvester, GA 31791",Sylvester,,,,"American, Breakfast, Diner",,,No,No,,,,3.4,,Average
Whitebull Hotel,,Armidale,"117 Marsh St, Armidale, NSW",Armidale,,,,"Bar Food, Steak",,,No,No,,,,3.5,,Good
Last Resort Grill,,Athens,"184 W Clayton St, Athens, GA 30601",Athens,,,,"American, Southern, Southwestern",,,No,No,,,,4.5,,Excellent
Mama's Boy Restaurant,,Athens,"197 Oak St, GA 30601",Athens,,,,Southern,,,No,No,,,,4.5,,Excellent
Sr. Sol 1,,Athens,"175 Tallassee Rd, Athens, GA 30606",Athens,,,,Mexican,,,No,No,,,,4.6,,Excellent
Choo Choo Eastside,,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,,,,"Japanese, Korean",,,No,No,,,,3.9,,Good
The Grill,,Athens,"171 College Ave, Athens, GA 30601",Athens,,,,"Breakfast, Burger, Sandwich",,,No,No,,,,3.7,,Good
Big City Bread Cafe,,Athens,"393 N Finley St, Athens, GA 30601",Athens,,,,"Breakfast, Sandwich",,,No,No,,,,4.3,,Very Good
Clocked,,Athens,"259 W Washington St, Athens, GA 30601",Athens,,,,"American, Burger, Sandwich",,,No,No,,,,4.2,,Very Good
DePalma's Italian Cafe - Downtown,,Athens,"401 E Broad St, Athens, GA 30601",Athens,,,,"American, Italian, Pizza",,,No,No,,,,4,,Very Good
DePalma's Italian Cafe - East Side,,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,,,,"American, Italian, Pizza",,,No,No,,,,4.1,,Very Good
Five & Ten,,Athens,"1073 South Milledge Ave, Athens, GA 30605",Athens,,,,American,,,No,No,,,,4.3,,Very Good
Grit,,Athens,"199 Prince Ave, Athens, GA 30601",Athens,,,,"International, Southern, Vegetarian",,,No,No,,,,4.2,,Very Good
Ike & Jane,,Athens,"1307 Prince Ave, Athens, GA 30606",Athens,,,,Sandwich,,,No,No,,,,4.1,,Very Good
La Dolce Vita Ristorante,,Athens,"323 E Broad St, Athens, GA 30601",Athens,,,,Italian,,,No,No,,,,4.1,,Very Good
Shokitini,,Athens,"251 W Clayton St, Athens, GA 30601",Athens,,,,"Asian, Japanese, Sushi",,,No,No,,,,4.2,,Very Good
Taqueria Del Sol,,Athens,"334 Prince Ave, Athens, GA 30601",Athens,,,,"Mexican, Spanish",,,No,No,,,,4.1,,Very Good
The National,,Athens,"232 W. Hancock Ave., Athens, GA 30601",Athens,,,,"International, Southern",,,No,No,,,,4.1,,Very Good
The Royal Peasant,,Athens,"1675 S. Lumpkin St., Athens, GA 30606",Athens,,,,Bar Food,,,No,No,,,,4.4,,Very Good
Transmetropolitan,,Athens,"145 E Clayton St, Athens, GA 30601",Athens,,,,"Italian, Pizza, Sandwich",,,No,No,,,,4.4,,Very Good
Trappeze Pub,,Athens,"269 N Hull St, Athens, GA 30601",Athens,,,,"Burger, Bar Food",,,No,No,,,,4.2,,Very Good
Viva! Argentine Cuisine,,Athens,"247 Prince Ave, Athens, GA 30601",Athens,,,,"Desserts, Latin American, Argentine",,,No,No,,,,4.1,,Very Good
Miyabi Kyoto Japanese Steak House,,Augusta,"1315 Augusta West Pkwy, Augusta, GA 30909",Augusta,,,,"Chinese, Steak",,,No,No,,,,4.6,,Excellent
Rae's Coastal Cafe,,Augusta,"3208 W Wimbledon Dr, Augusta, GA 30909",Augusta,,,,"American, Caribbean, Seafood",,,No,No,,,,4.9,,Excellent
The Bee's Knees,,Augusta,"211 10th Street, Augusta, GA 30901",Augusta,,,,"International, Tapas, Vegetarian",,,No,No,,,,4.5,,Excellent
Boll Weevil Cafe,,Augusta,"10 9th St, Augusta, GA 30901",Augusta,,,,"Desserts, Sandwich, Southern",,,No,No,,,,3.9,,Good
Farmhaus Burger,,Augusta,"1204 Broad St, Augusta, GA 30901",Augusta,,,,"American, Burger",,,No,No,,,,3.9,,Good
Manuel's Bread Cafe,,Augusta,"505 Railroad Ave, North Augusta, GA 29841",Augusta,,,,"Breakfast, French",,,No,No,,,,3.8,,Good
Sconyers Bar B Que,,Augusta,"2250 Sconyers Way, Augusta, GA 30906",Augusta,,,,BBQ,,,No,No,,,,3.5,,Good
Frog Hollow Tavern,,Augusta,"1282 broad street, Augusta, GA 30901",Augusta,,,,American,,,No,No,,,,4.3,,Very Good
Giuseppe's Pizza & Italian Specialities,,Augusta,"3690 Wheeler Rd, Augusta, GA 30909",Augusta,,,,"Desserts, Italian, Pizza",,,No,No,,,,4.1,,Very Good
Mellow Mushroom,,Augusta,"1167 Broad St, Augusta, GA 30901",Augusta,,,,"Italian, Pizza, Sandwich",,,No,No,,,,4.4,,Very Good
Nacho Mamas Burritos,,Augusta,"976 Broad St, Augusta, GA 30901",Augusta,,,,Mexican,,,No,No,,,,4,,Very Good
Rhinehart's Oyster Bar,,Augusta,"3051 Washington Rd, Augusta, GA 30907",Augusta,,,,"Bar Food, Sandwich, Seafood",,,No,No,,,,4,,Very Good
Takosushi,,Augusta,"437 Highland Ave, Augusta, GA 30909",Augusta,,,,"Mexican, Southwestern, Sushi",,,No,No,,,,4.2,,Very Good
The Chop House,,Augusta,"Augusta Mall, Augusta, GA 30909",Augusta,,,,Steak,,,No,No,,,,4,,Very Good
The Taj of India,,Augusta,"502 Furys Ferry Rd, Augusta, GA 30907",Augusta,,,,Indian,,,No,No,,,,4,,Very Good
Augsburg Haus,,Augusta,"4460 Washington Road, Evans, GA 30809",Evans,,,,German,,,No,No,,,,3.9,,Good
Pho Bac,,Augusta,"4300 Towne Centre, Evans, GA 30809",Evans,,,,Vietnamese,,,No,No,,,,4.1,,Very Good
Rhinehart's Oyster Bar,,Augusta,"303 North Bel Air Rd, Evans, GA 30809",Evans,,,,"Burger, Seafood",,,No,No,,,,4,,Very Good
Thai Kitchen,,Augusta,"4357 Washington Road, Evans, GA 30809",Evans,,,,Thai,,,No,No,,,,4.3,,Very Good
El Kiosco Mexican Restaurant,,Augusta,"5174 Wrightsboro Rd, Grovetown, GA 30813",Grovetown,,,,Mexican,,,No,No,,,,4.2,,Very Good
Taste of Balingup,,Balingup,"63 South Western Hwy, Balingup, WA",Balingup,,,,Modern Australian,,,No,No,,,,3.2,,Average
Bridge Road Brewers,,Beechworth,"Old Coach House 50 Ford St, Beechworth, Beechworth, VIC",Beechworth,,,,"Pizza, Bar Food",,,No,No,,,,4.6,,Excellent
Bardenay,,Boise,"610 W Grove St, Boise, ID 83702",Boise,,,,"American, Bar Food",,,No,No,,,,4.5,,Excellent
Flatbread Neapolitan Pizzeria,,Boise,"800 W Main Suite 230, Boise, ID 83702",Boise,,,,"Italian, Pizza",,,No,No,,,,4.6,,Excellent
Goldy's Breakfast Bistro,,Boise,"108 S Capitol Blvd, Boise, ID 83702",Boise,,,,"Breakfast, Sandwich",,,No,No,,,,4.5,,Excellent
Chandlers Steakhouse,,Boise,"981 W Grove St, Boise, ID 83702",Boise,,,,"American, Seafood, Steak",,,No,No,,,,3.9,,Good
Bar Gernika Basque Pub & Eatery,,Boise,"202 S Capitol Blvd, Boise, ID 83702",Boise,,,,"European, Spanish",,,No,No,,,,4.3,,Very Good
Barbacoa Restaurant,,Boise,"276 Bobwhite Ct, Boise, ID 83706",Boise,,,,"Latin American, Steak",,,No,No,,,,4.1,,Very Good
Big Jud's,,Boise,"1289 Protest Rd, Boise, ID 83706",Boise,,,,"American, Burger, Sandwich",,,No,No,,,,4.2,,Very Good
Bittercreek Ale House,,Boise,"246 N 8th St, Boise, ID 83702",Boise,,,,"American, Bar Food",,,No,No,,,,4.3,,Very Good
